,adm3_sec_code,departement,commune,section_communale,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male,IHSI_UNFPA_2019
286,51202,Artibonite,Ennery,2e Section Passe-Reine ou Bas d'Ennery,9 979,10 154,20 134
287,51203,Artibonite,Ennery,3e Section Chemin Neuf,3 155,3 254,6 409
288,51204,Artibonite,Ennery,4e Section Puilboreau,6 742,6 883,13 624
289,51301,Artibonite,L'Estère,1re Section La Croix Perisse,13 839,13 663,27 502
290,51302,Artibonite,L'Estère,2e Section Petite Desdunes,13 089,12 924,26 012
291,52101,Artibonite,Gros Morne,1re Section Boucan Richard,4 643,4 791,9 434
292,52102,Artibonite,Gros Morne,2e Section Rivière Mancelle,8 519,8 793,17 312
293,52103,Artibonite,Gros Morne,3e Section Rivière Blanche,31 231,30 225,61 456
294,52104,Artibonite,Gros Morne,4e Section l'Acul,10 367,10 696,21 063
295,52105,Artibonite,Gros Morne,5e Section Pendu,3 870,3 991,7 861
296,52106,Artibonite,Gros Morne,6e Section Savane Carree,14 161,14 609,28 770
297,52107,Artibonite,Gros Morne,7e Section Moulin,9 278,9 573,18 850
298,52108,Artibonite,Gros Morne,8e Section Ravine Gros Morne,9 722,10 030,19 752
299,52201,Artibonite,Terre Neuve,1re Section Doland,6 941,7 158,14 098
300,52202,Artibonite,Terre Neuve,2e Section Bois Neuf,5 036,5 373,10 409
301,52203,Artibonite,Terre Neuve,3e Section Lagon,6 168,6 359,12 527
302,52301,Artibonite,Anse Rouge,1re Section l'Arbre,10 374,10 538,20 912
303,52302,Artibonite,Anse Rouge,2e Section Sources Chaudes,15 261,15 251,30 512
304,53101,Artibonite,Saint-Marc,1re Section Deluge,13 424,12 926,26 350
305,53102,Artibonite,Saint-Marc,2e Section Bois Neuf,37 250,35 070,72 319
306,53103,Artibonite,Saint-Marc,3e Section Goyavier,6 349,6 407,12 757
307,53104,Artibonite,Saint-Marc,4e Section Lalouère,9 268,9 351,18 619
308,53105,Artibonite,Saint-Marc,5e Section Bocozelle,36 936,35 256,72 191
309,53106,Artibonite,Saint-Marc,6e Section Charrette,59 700,54 039,113 739
310,53201,Artibonite,Verrettes,1re Section Liancourt,22 858,22 562,45 420
311,53202,Artibonite,Verrettes,2e Section Belanger,15 609,15 671,31 280
312,53203,Artibonite,Verrettes,3e Section Guillaume Moge (Quartier de Desarmes),8 510,8 453,16 963
313,53204,Artibonite,Verrettes,4e Section Desarmes (Quartier de Desarmes),16 615,16 435,33 050
314,53205,Artibonite,Verrettes,5e Section Bastien,15 288,15 126,30 414
315,53206,Artibonite,Verrettes,6e Section Terre Natte,7 218,7 262,14 480
316,53301,Artibonite,La Chapelle,1re Section Martineau,7 098,7 433,14 531
317,53302,Artibonite,La Chapelle,2e Section Bossous,11 263,11 598,22 860
318,54101,Artibonite,Dessalines,1re Section Villars,17 564,17 953,35 518
319,54102,Artibonite,Dessalines,2e Section Fosse Naboth ou Duvallon,18 510,18 921,37 431
320,54103,Artibonite,Dessalines,3e Section Oge,40 257,40 255,80 512
321,54104,Artibonite,Dessalines,4e Section Poste Pierrot,12 528,12 805,25 333
322,54105,Artibonite,Dessalines,5e Section Fiefe ou Petit Cahos,6 726,6 880,13 606
323,54106,Artibonite,Dessalines,6e Section la Croix ou Grand Cahos,11 452,11 707,23 159
324,54201,Artibonite,Petite Rivière de l'Artibonite,1re Section Bas Coursin I,24 011,25 249,49 260
325,54202,Artibonite,Petite Rivière de l'Artibonite,2e Section Bas Coursin II,7 904,8 315,16 219
326,54203,Artibonite,Petite Rivière de l'Artibonite,3e Section Labady,36 092,34 586,70 678
327,54204,Artibonite,Petite Rivière de l'Artibonite,4e Section Savane à Roche,13 996,14 336,28 333
328,54205,Artibonite,Petite Rivière de l'Artibonite,5e Section Perodin,9 133,9 606,18 739
329,54206,Artibonite,Petite Rivière de l'Artibonite,6e Section Medor,9 311,9 791,19 101
