id_Section,No_section,adm0code,adm0_en,adm0_fr,adm0_ht,adm1code,adm1_en,adm1_fr,adm1_ht,adm2code,adm2_en,adm2_fr,adm2_ht,adm3code,adm3_en,adm3_fr,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
151-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0151,Anse a Galets,Anse à Galets, ,HT0151-03,3e Section Grande Source,3e Section Grande Source,2 650,1 465,1 185
151-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0151,Anse a Galets,Anse à Galets, ,HT0151-04,4e Section Grand Lagon,4e Section Grand Lagon,5 263,2 856,2 407
151-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0151,Anse a Galets,Anse à Galets, ,HT0151-05,5e Section Picmy,5e Section Picmy,920,506,414
151-06,6,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0151,Anse a Galets,Anse à Galets, ,HT0151-06,6e Section Petite Anse,6e Section Petite Anse,1 670,890,780
152-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0152,Pointe a Raquette,Pointe à Raquette, ,HT0152-01,5e Section Gros Mangle,5e Section Gros Mangle,2 785,1 383,1 402
152-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0152,Pointe a Raquette,Pointe à Raquette, ,HT0152-02,1re Section la Source,1re Section la Source,4 269,2 064,2 206
152-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0152,Pointe a Raquette,Pointe à Raquette, ,HT0152-03,2e Section Grand Vide,2e Section Grand Vide,5 083,2 438,2 644
152-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0152,Pointe a Raquette,Pointe à Raquette, ,HT0152-04,3e Section Trou Louis,3e Section Trou Louis,7 353,3 501,3 852
152-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0152,Pointe a Raquette,Pointe à Raquette, ,HT0152-05,4e Section Pointe a Raquette,4e Section Pointe à Raquette,10 993,5 245,5 748
211-01,1,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-01,1re Section Bas Cap Rouge,1re Section Bas Cap Rouge,94 073,48 357,45 715
211-02,2,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-02,2e Section Fond Melon (Selles),2e Section Fond Melon (Selles),2 672,1 446,1 227
211-03,3,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-03,3e Section Cochon Gras,3e Section Cochon Gras,18 480,9 178,9 302
211-04,4,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-04,4e Section La Gosseline,4e Section La Gosseline,7 536,3 849,3 687
211-05,5,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-05,5e Section Marbial,5e Section Marbial,3 478,1 679,1 799
211-06,6,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-06,6e Section Montagne La Voûte,6e Section Montagne La Voûte,59 071,30 114,28 958
211-07,7,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-07,7e Section Grande Riviere de Jacmel,7e Section Grande Rivière de Jacmel,9 617,4 636,4 981
211-08,8,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-08,8e Section Bas Coq Chante,8e Section Bas Coq Chante,15 262,7 372,7 890
211-09,9,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-09,9e Section Haut Coq Chante,9e Section Haut Coq Chante,8 834,4 205,4 629
211-10,10,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-10,10e Section La Vanneau,10e Section La Vanneau,14 966,7 445,7 520
211-11,11,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0211,Jacmel,Jacmel, ,HT0211-11,11e Section La Montagne,11e Section La Montagne,30 610,15 562,15 048
212-01,1,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0212,Marigot,Marigot, ,HT0212-01,1re Section Corail Soult,1re Section Corail Soult,26 814,14 515,12 299
212-02,2,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0212,Marigot,Marigot, ,HT0212-02,2e Section Grande Riviere Fesles,2e Section Grande Rivière Fesles,9 855,5 153,4 701
212-03,3,HT,Haiti,Haïti,Ayiti,HT02,South-East,Sud-Est,Sidès,HT0212,Marigot,Marigot, ,HT0212-03,3e Section Macary,3e Section Macary,24 784,13 065,11 719
